player,player_id,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Deandre Ayton,1629028,C,13.91,0.89,8.69,0.74,1.0,1.63,0.5460122699386504,1.74,23.6,27.0,2026
Marcus Bagley,1630542,F,6.7,1.0,7.0,0.9,1.2,0.7,1.4285714285714286,2.1,16.1,23.0,2025
Marvin Bagley III,1628963,F,4.89,0.37,2.95,0.37,0.26,0.58,0.6379310344827587,0.63,8.26,26.0,2025
Marvin Bagley III,1628963,F,3.58,0.33,2.33,0.17,0.25,0.08,4.125,0.42,6.58,26.0,2025
Marvin Bagley III,1628963,F,4.39,0.35,2.71,0.29,0.26,0.39,0.8974358974358974,0.55,7.61,26.0,2025
Marvin Bagley III,1628963,F,10.03,1.52,5.64,0.52,0.7,1.15,1.3217391304347827,1.22,17.26,26.0,2026
Patrick Baldwin Jr.,1631116,F,2.14,0.09,1.0,0.14,0.09,0.23,0.3913043478260869,0.23,3.23,22.0,2025
Patrick Baldwin Jr.,1631116,F,3.0,0.5,1.5,0.0,0.0,0.0,inf,0.0,5.0,22.0,2025
Patrick Baldwin Jr.,1631116,F,2.21,0.12,1.04,0.12,0.08,0.21,0.5714285714285714,0.2,3.36,22.0,2025
LaMelo Ball,1630163,G,25.19,7.36,4.94,1.15,0.28,3.55,2.0732394366197187,1.43,35.37,23.0,2025
LaMelo Ball,1630163,G,20.39,7.81,5.19,1.16,0.23,3.35,2.3313432835820893,1.39,31.43,24.0,2026
Lonzo Ball,1628366,G,7.63,3.29,3.37,1.34,0.49,1.17,2.811965811965812,1.83,14.95,27.0,2025
Lonzo Ball,1628366,G,5.18,4.36,4.07,1.29,0.29,1.57,2.777070063694268,1.58,13.62,28.0,2026
Mo Bamba,1628964,C,4.57,0.57,4.29,0.32,1.0,0.68,0.838235294117647,1.32,10.07,27.0,2025
Mo Bamba,1628964,C,2.5,0.5,6.25,0.0,0.75,0.25,2.0,0.75,9.75,27.0,2025
Mo Bamba,1628964,C,4.31,0.56,4.53,0.28,0.97,0.62,0.903225806451613,1.25,10.03,27.0,2025
Mo Bamba,1628964,C,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,1.5,27.0,2026
Paolo Banchero,1631094,F,25.89,4.76,7.5,0.78,0.61,2.96,1.6081081081081081,1.39,36.58,22.0,2025
Paolo Banchero,1631094,F,21.06,4.87,8.81,0.71,0.71,2.84,1.7147887323943662,1.42,33.32,23.0,2026
Desmond Bane,1630217,G,19.23,5.35,6.06,1.16,0.41,2.45,2.1836734693877546,1.57,29.76,27.0,2025
Desmond Bane,1630217,G,19.05,4.54,4.54,0.78,0.54,2.24,2.026785714285714,1.32,27.21,27.0,2026
Dalano Banton,1630625,F,8.34,2.39,2.01,0.64,0.51,1.28,1.8671875,1.15,12.61,25.0,2025
Dominick Barlow,1631230,F,4.23,0.54,2.43,0.26,0.46,0.14,3.857142857142857,0.72,7.78,22.0,2025
Dominick Barlow,1631230,F,8.31,1.34,5.17,0.72,0.76,1.0,1.34,1.48,15.3,22.0,2026
Harrison Barnes,203084,F,12.33,1.66,3.78,0.48,0.17,0.61,2.721311475409836,0.65,17.81,33.0,2025
Harrison Barnes,203084,F,11.12,2.2,2.98,0.78,0.12,0.98,2.2448979591836737,0.9,16.22,33.0,2026
Scottie Barnes,1630567,F,19.26,5.82,7.72,1.43,0.97,2.83,2.056537102473498,2.4,32.37,23.0,2025
Scottie Barnes,1630567,F,19.41,5.44,8.27,1.34,1.41,2.59,2.1003861003861006,2.75,33.28,24.0,2026
RJ Barrett,1629628,F,21.09,5.41,6.31,0.79,0.29,2.86,1.8916083916083917,1.08,31.03,25.0,2025
RJ Barrett,1629628,F,19.61,3.65,5.04,0.83,0.17,1.57,2.32484076433121,1.0,27.73,25.0,2026
Charles Bassey,1629646,C,4.36,0.47,4.22,0.39,0.83,0.64,0.7343749999999999,1.22,9.63,24.0,2025
Charles Bassey,1629646,C,3.5,1.0,7.5,0.5,0.5,0.5,2.0,1.0,12.5,25.0,2026
